epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,6270.76,2.15206,0.83057,0.71415,0.90592,0.76908,0.83423,0.40595,1.96277,0.95556,0.74759,0.000402084,0.000402084,0.000402084
104,6331.69,2.11079,0.82272,0.71317,0.89146,0.76099,0.83481,0.42164,1.91644,0.95653,0.74656,0.000393649,0.000393649,0.000393649
105,6392.21,2.1154,0.81904,0.71981,0.89532,0.76677,0.83794,0.42716,1.89541,0.91923,0.74808,0.000385249,0.000385249,0.000385249
106,6452.72,2.16555,0.83369,0.70593,0.88593,0.76997,0.83565,0.41662,1.93378,0.94112,0.74858,0.000376885,0.000376885,0.000376885
107,6513.62,2.10525,0.80031,0.71942,0.8481,0.77592,0.82841,0.42461,1.92939,0.94106,0.7485,0.00036856,0.00036856,0.00036856
108,6574.39,2.13716,0.81946,0.7166,0.85321,0.78115,0.82923,0.41399,1.92875,0.96888,0.74564,0.000360276,0.000360276,0.000360276
109,6634.42,2.12348,0.80559,0.71679,0.89452,0.76038,0.82897,0.42183,1.93316,0.9183,0.74634,0.000352037,0.000352037,0.000352037
110,6694.76,2.1121,0.79658,0.71792,0.88688,0.77316,0.83455,0.42507,1.89538,0.96648,0.74739,0.000343844,0.000343844,0.000343844
111,6754.86,2.1217,0.79368,0.71206,0.88229,0.76632,0.83771,0.43103,1.90503,0.94318,0.74699,0.0003357,0.0003357,0.0003357
112,6815.05,2.11928,0.81644,0.70969,0.87562,0.77599,0.82974,0.43121,1.90983,0.96516,0.74579,0.000327608,0.000327608,0.000327608
113,6875.65,2.11162,0.81195,0.7053,0.87711,0.77529,0.83083,0.42533,1.91731,0.94105,0.74993,0.00031957,0.00031957,0.00031957
114,6936.49,2.08534,0.79255,0.71127,0.86521,0.79073,0.8385,0.42817,1.9233,0.93591,0.74573,0.000311588,0.000311588,0.000311588
115,6996.71,2.07578,0.79324,0.71841,0.8881,0.77476,0.8345,0.43097,1.89689,0.93614,0.74527,0.000303665,0.000303665,0.000303665
116,7057.52,2.13814,0.79645,0.71035,0.8766,0.76837,0.83152,0.42134,1.93002,0.94448,0.74433,0.000295804,0.000295804,0.000295804
117,7117.78,2.09651,0.78656,0.70946,0.90569,0.75172,0.82682,0.42088,1.94419,0.97094,0.74721,0.000288006,0.000288006,0.000288006
118,7178.02,2.04815,0.7804,0.71946,0.88938,0.75776,0.82602,0.42395,1.93041,0.93475,0.74277,0.000280275,0.000280275,0.000280275
119,7238.37,2.07396,0.76717,0.71578,0.87659,0.78296,0.82854,0.42198,1.93457,0.93825,0.74836,0.000272612,0.000272612,0.000272612
120,7298.76,2.08731,0.7774,0.71932,0.90252,0.76518,0.83626,0.4253,1.9104,0.98323,0.74651,0.000265019,0.000265019,0.000265019
121,7359.15,2.12967,0.78765,0.71333,0.89309,0.75719,0.8225,0.42993,1.90155,0.97955,0.7477,0.0002575,0.0002575,0.0002575
122,7419.72,2.11053,0.77411,0.71277,0.88382,0.76997,0.82839,0.42594,1.90739,0.97903,0.74642,0.000250056,0.000250056,0.000250056
123,7480.42,2.11932,0.77333,0.7133,0.92275,0.74419,0.8239,0.41949,1.92007,0.95009,0.74675,0.00024269,0.00024269,0.00024269
124,7541.49,2.08922,0.76111,0.71211,0.87534,0.77476,0.82261,0.42477,1.89855,0.98221,0.74455,0.000235404,0.000235404,0.000235404
125,7602.39,2.07565,0.76679,0.71551,0.90043,0.76567,0.82423,0.4241,1.89132,0.98728,0.74666,0.0002282,0.0002282,0.0002282
126,7663.26,2.11097,0.76749,0.70731,0.90236,0.76038,0.82956,0.42133,1.89861,0.99083,0.7445,0.00022108,0.00022108,0.00022108
127,7723.99,2.06453,0.76473,0.70984,0.92095,0.74441,0.82418,0.42102,1.90472,0.9751,0.74223,0.000214046,0.000214046,0.000214046
128,7784.94,2.07879,0.75981,0.71261,0.89961,0.75559,0.82271,0.42352,1.90056,0.99413,0.74733,0.000207102,0.000207102,0.000207102
129,7845.68,2.06989,0.74293,0.71556,0.92423,0.74047,0.82274,0.41782,1.91389,0.97622,0.74667,0.000200248,0.000200248,0.000200248
130,7906.41,2.05799,0.7399,0.70702,0.9326,0.7492,0.83529,0.42673,1.9029,0.91126,0.74197,0.000193486,0.000193486,0.000193486
131,7966.87,2.0892,0.77142,0.71209,0.91671,0.76038,0.83146,0.42778,1.896,0.93456,0.74378,0.00018682,0.00018682,0.00018682
132,8027.18,2.07366,0.74245,0.71283,0.92256,0.76128,0.83062,0.43018,1.87624,0.90484,0.7414,0.000180251,0.000180251,0.000180251
133,8087.5,2.04611,0.73865,0.71843,0.91405,0.7524,0.82385,0.42792,1.90069,0.93546,0.74169,0.00017378,0.00017378,0.00017378
134,8148.29,2.03873,0.74791,0.71501,0.88409,0.77955,0.8281,0.42759,1.89861,0.91953,0.74265,0.000167411,0.000167411,0.000167411
135,8209.54,2.09797,0.755,0.71182,0.90543,0.76358,0.83244,0.42567,1.9021,0.93969,0.74328,0.000161144,0.000161144,0.000161144
136,8270.38,2.04192,0.74876,0.71016,0.91107,0.76198,0.82709,0.42198,1.90539,0.95603,0.74279,0.000154982,0.000154982,0.000154982
137,8331.2,2.06151,0.73889,0.71062,0.89244,0.76873,0.82549,0.41311,1.92732,0.96583,0.74521,0.000148927,0.000148927,0.000148927
138,8392.28,2.05404,0.73384,0.71186,0.92072,0.74209,0.82552,0.42131,1.90387,0.94515,0.7434,0.00014298,0.00014298,0.00014298
139,8453.24,2.02517,0.7332,0.7077,0.92456,0.7476,0.83259,0.41955,1.9172,0.93518,0.74568,0.000137143,0.000137143,0.000137143
140,8514.16,2.06101,0.7355,0.70922,0.90196,0.76425,0.83121,0.42119,1.89265,0.93292,0.74379,0.000131419,0.000131419,0.000131419
141,8574.96,2.03597,0.71913,0.71519,0.90243,0.7683,0.8303,0.42082,1.90721,0.96597,0.7468,0.000125808,0.000125808,0.000125808
142,8635.51,2.04997,0.73865,0.71006,0.89312,0.77316,0.8314,0.42041,1.90548,0.93893,0.74597,0.000120313,0.000120313,0.000120313
143,8696.2,2.0085,0.72755,0.71338,0.88881,0.77895,0.82907,0.42735,1.91218,0.95743,0.74537,0.000114935,0.000114935,0.000114935
144,8757.19,2.02088,0.73073,0.7158,0.87676,0.78413,0.8287,0.42648,1.89638,0.95763,0.74556,0.000109675,0.000109675,0.000109675
145,8818.13,2.02033,0.71859,0.70912,0.88207,0.78115,0.83165,0.41858,1.90747,0.94443,0.74515,0.000104537,0.000104537,0.000104537
146,8878.8,2.04212,0.71304,0.70648,0.88644,0.77157,0.82891,0.42002,1.8881,0.96408,0.74647,9.95197e-05,9.95197e-05,9.95197e-05
147,8939.69,2.02985,0.70834,0.7085,0.91062,0.76198,0.8251,0.41784,1.90315,0.98116,0.74659,9.46264e-05,9.46264e-05,9.46264e-05
148,9000.39,2.0473,0.72329,0.70939,0.91243,0.76677,0.82953,0.42429,1.90775,0.96409,0.74672,8.98581e-05,8.98581e-05,8.98581e-05
149,9061.25,1.97157,0.70226,0.71359,0.89649,0.77477,0.82977,0.42511,1.8988,0.94672,0.74528,8.52162e-05,8.52162e-05,8.52162e-05
150,9122.32,2.02471,0.71862,0.71024,0.90982,0.75744,0.82823,0.42177,1.89469,0.9453,0.74662,8.07022e-05,8.07022e-05,8.07022e-05
151,9183.31,2.0414,0.72345,0.712,0.90971,0.7565,0.82643,0.42422,1.89846,0.9415,0.74679,7.63174e-05,7.63174e-05,7.63174e-05
152,9244.41,2.04669,0.7231,0.71065,0.8877,0.78435,0.83779,0.42254,1.91098,0.94376,0.74692,7.20632e-05,7.20632e-05,7.20632e-05
153,9304.95,2.02384,0.71264,0.71058,0.91368,0.75399,0.82779,0.4244,1.89946,0.96825,0.7459,6.79409e-05,6.79409e-05,6.79409e-05
154,9365.91,1.99025,0.7067,0.70641,0.89275,0.77126,0.82608,0.42323,1.90089,0.96397,0.74509,6.39518e-05,6.39518e-05,6.39518e-05
155,9426.74,2.0299,0.72321,0.70171,0.89292,0.75719,0.81849,0.42217,1.91487,0.97265,0.74611,6.00969e-05,6.00969e-05,6.00969e-05
156,9487.59,2.00657,0.71012,0.70835,0.89537,0.76198,0.82352,0.42463,1.90669,0.96481,0.74504,5.63776e-05,5.63776e-05,5.63776e-05
